id,timestamp,mode,filename,is_defective,confidence_score,defect_count,defects,annotated_relpath
8c24851f-b502-47c5-9861-87a40d1fdc63,2025-08-26T17:56:31.043310,api,10.JPG,true,0.6021990023853977,80,80,/api/pcb/defective/defective_pcb_20250826_175630.jpg
175e88fa-5d21-498d-a00a-86e34d7383df,2025-08-26T17:56:57.053906,api,PCB_1_MissingHole_01.jpg,true,0.8081088915486168,460,460,/api/pcb/defective/defective_pcb_20250826_175656.jpg
6184c5e0-8529-48a9-80ae-ea38e2d4209b,2025-08-26T19:24:00.808570,api,10.JPG,true,0.9186758242639588,2,2,/api/pcb/defective/defective_pcb_20250826_192400.jpg
0d018fba-be73-4c65-9b35-25664d4729cb,2025-08-26T19:24:26.411420,api,PCB_1_MissingHole_01.jpg,true,0.9937415001652912,1,1,/api/pcb/defective/defective_pcb_20250826_192426.jpg
951e4144-f68b-48c2-a071-24215f6fd23c,2025-08-26T19:33:51.867912,api,10.JPG,true,0.9186758242639588,2,2,/api/pcb/defective/defective_pcb_20250826_193351.jpg
40802409-7e78-418a-9dac-3118510ffae1,2025-08-26T19:45:38.341958,api,11.JPG,true,0.8944438412315663,20,20,/api/pcb/defective/defective_pcb_20250826_194538.jpg
42367999-9f4e-405f-9728-ba50708f1f8f,2025-08-26T19:46:04.767171,api,PCB_1_MissingHole_01.jpg,true,0.9937415001652912,1,1,/api/pcb/defective/defective_pcb_20250826_194604.jpg
db353caa-ab74-4ba8-9d18-14e8a28c9f28,2025-08-26T20:00:49.347613,api,PCB_1_MissingHole_01.jpg,true,0.9937415001652912,1,1,/api/pcb/defective/defective_pcb_20250826_200049.jpg
18665bfe-825e-41cf-8f45-f9a41a3f911a,2025-08-26T20:10:57.865460,api,PCB_1_MissingHole_01.jpg,true,1.0,1,1,/api/pcb/defective/defective_pcb_20250826_201057.jpg
14831ef7-9883-47c3-aa1c-46b6d4f5316a,2025-08-26T20:36:45.005764,api,PCB_1_MissingHole_01.jpg,true,0.9937415001652913,1,1,/api/pcb/defective/defective_pcb_20250826_203644.jpg
b49734a3-0797-4cd3-b268-e07a236baca7,2025-08-26T22:09:12.431412,api,10.JPG,true,0.9186758242639587,2,2,/api/pcb/defective/defective_pcb_20250826_220912.jpg
